Time;BTC / Price, USD;BTC / Addresses, active, count;BTC / Hash rate, mean;BTC / Fees, transaction, mean, USD;BTC / Issuance, continuous, percent, annualized;BTC / NVT, adjusted
2017-09-27;4207,787485;702387;8063002,609;2,354493117;4,042575657;41,16822984
2017-09-28;4187,769796;753933;9708513,346;2,04600836;4,866942048;39,41164003
2017-09-29;4155,01012;741184;9269710,483;1,8679664;4,646375717;40,94265089
2017-09-30;4334,544613;631821;7569349,388;2,088460914;3,793687602;52,93359424
2017-10-01;4382,086898;628817;7133598,092;2,557727961;3,573413805;55,09593341
2017-10-02;4386,875715;800519;8380132,04;2,728882261;4,12270406;40,20881991
2017-10-03;4306,564642;787242;10223761,09;2,267520778;5,029005956;43,10976512
2017-10-04;4216,684821;655363;7486251,289;2,462832719;3,68207004;48,70290275
2017-10-05;4319,420916;725883;6983443,366;2,551328525;3,434443637;43,40865404
2017-10-06;4365,91571;818384;8882939,962;2,293755623;4,368089498;47,19624797
2017-10-07;4438,855933;651679;8827072,415;2,059153736;4,340101107;60,49175986
2017-10-08;4600,739797;699283;10167893,54;2,175087145;4,99867231;62,26788736
2017-10-09;4777,534657;797851;8994675,056;2,386942261;4,421366789;42,63159729
2017-10-10;4741,077915;833834;8938807,509;2,630204924;4,393376004;39,16574114
2017-10-11;4814,967118;778349;7765589,023;2,424607092;3,816346335;47,43824236
2017-10-12;5393,668983;784446;8547734,68;3,233933978;4,200243142;43,43039474
2017-10-13;5614,077515;818187;7597986,383;5,160144509;3,733167597;37,83170993
2017-10-14;5785,738315;789672;7877324,117;4,536526567;3,870006035;50,97043183
2017-10-15;5689,86506;825816;11485102,17;3,152446776;5,351351317;58,01556605
2017-10-16;5756,148812;844162;10351762,43;3,582874536;4,774427338;49,77437485
2017-10-17;5590,416324;878509;9756833,552;3,48649977;4,499480227;44,24456201
2017-10-18;5583,870426;824566;8983426,015;3,26106658;4,142343948;45,02192163
2017-10-19;5708,312991;906491;10589733,98;3,03542855;4,882374794;47,56667205
2017-10-20;6000,88313;850614;10649226,87;3,162458252;4,909143512;50,11977921
2017-10-21;6030,207893;800937;9102411,79;3,200210143;4,195601229;54,11214936
2017-10-22;5996,598139;907439;10827705,53;3,268441203;4,990163574;56,60884571
2017-10-23;5888,250017;880240;10173283,76;3,458319425;4,687958096;27,39889527
2017-10-24;5517,775353;955565;9935312,215;3,13040764;4,57772406;32,98683264
2017-10-25;5736,017802;911228;11006184,19;2,599409929;5,070426984;41,19252982
2017-10-26;5900,317729;742163;11103293,01;2,558637585;4,932721704;42,83342684
2017-10-27;5771,945046;668740;7510989,944;3,923618837;2,849794465;50,59666425
2017-10-28;5762,388577;555227;6138789,858;4,960608284;2,329010317;63,0673727
2017-10-29;6174,728845;905041;11122042,8;5,184222888;4,219130936;46,93776814
2017-10-30;6119,256384;894901;10616495,4;5,013395082;4,026907935;44,93488769
2017-10-31;6428,514637;827896;9966505,887;5,46317191;3,779971053;42,19797386
2017-11-01;6726,411835;961473;11266484,92;5,620919051;4,272510579;37,94369618
2017-11-02;7043,777939;916882;10833158,57;5,73598792;4,107720912;34,85425536
2017-11-03;7198,632111;820113;8594305,801;7,153282906;3,258500999;42,09890519
2017-11-04;7420,498079;800708;9388737,429;6,759872268;3,559359842;54,79411801
2017-11-05;7371,13903;805781;10183169,06;5,75027375;3,860128166;56,65652618
2017-11-06;6985,263844;831790;9605400,601;6,357737025;3,640750613;40,26969594
2017-11-07;7118,202544;937089;11266484,92;6,153385914;4,269854547;39,69127573
2017-11-08;7451,212787;871573;10399832,23;6,608083712;3,940978636;36,29763583
2017-11-09;7117,73805;948030;11049821,74;7,601934574;4,186809488;33,63028357
2017-11-10;6620,567336;786879;8468739,816;7,812685998;3,283476745;35,08248535
2017-11-11;6346,721449;579558;5426063,163;10,74107832;2,188853227;44,64436145
2017-11-12;5829,097828;586355;5426063,163;18,29934947;2,188721972;30,66993426
2017-11-13;6519,445172;920515;9495610,536;16,40663021;3,82986155;29,69014341
2017-11-14;6592,374397;819127;8681701,061;15,01915953;3,501251814;25,35340962
2017-11-15;7257,373212;944172;10309520,01;13,37646774;4,157262973;25,20554238
2017-11-16;7833,704433;907472;10309520,01;12,70615962;4,156789525;25,34432094
2017-11-17;7729,03327;982559;11326906,85;10,01052829;4,566427651;29,54040815
2017-11-18;7796,154241;843076;9224307,378;8,239189168;3,718388584;44,85325202
2017-11-19;8018,320688;913898;10852126,33;7,557017667;4,374050569;49,46530499
2017-11-20;8269,874257;979917;11869513,17;8,045325409;4,783490829;39,45982497
2017-11-21;8091,998084;981593;11733861,59;6,696942376;4,728209791;36,13361434
2017-11-22;8249,59733;869698;10038216,85;6,838394998;4,044494268;39,86098638
2017-11-23;8071,669821;959240;10648648,96;6,120283478;4,289938977;40,66144937
2017-11-24;8232,422333;905792;10083527,03;6,172059644;4,070889278;35,23615133
2017-11-25;8760,165442;922777;10445729,47;5,104741736;4,261641474;47,74914035
2017-11-26;9319,903315;941512;10244850,06;5,375182275;4,179208261;41,90181914
2017-11-27;9730,728579;1061044;11383166,73;6,135496023;4,642974051;34,3239769
2017-11-28;9932,19418;1025283;10445729,47;6,680328486;4,260114203;33,01125516
2017-11-29;9800,027552;1132724;11584046,14;7,141392141;4,723746002;27,8826412
2017-11-30;9996,714972;1086490;11182287,32;7,036130572;4,559347065;31,500202
2017-12-01;10808,95833;1115596;12253644,19;6,378844969;4,995486947;41,61961509
2017-12-02;10934,85999;943132;10780528,49;6,367070994;4,394407476;52,68701034
2017-12-03;11213,94266;1008744;11784925,56;6,031439872;4,803192166;54,9623701
2017-12-04;11562,12857;1155119;12119724,58;6,526409297;4,938978083;43,50845186
2017-12-05;11736,75407;1146460;11918845,17;6,388038163;4,856470309;39,2050088
2017-12-06;13992,13234;1228561;13218896,98;8,169606557;5,128585005;37,70451693
2017-12-07;17032,29338;1065803;12020755,11;16,80050553;4,146044533;26,32533767
2017-12-08;16298,48734;1126652;12337090,77;27,31364917;4,254654962;29,15539415
2017-12-09;15050,02195;1182172;13760601,25;21,05946703;4,744959769;26,82064127
2017-12-10;15474,99954;1073634;12969762,09;20,8641594;4,471713023;30,9773617
2017-12-11;16873,49778;1163072;13523349,5;22,09133933;4,661983292;29,03905981
2017-12-12;17433,93074;1099485;12337090,77;25,32326035;4,252541876;30,03406764
2017-12-13;16515,15257;1251052;14709608,23;23,46532102;5,069634151;32,29820145
2017-12-14;16602,8928;1290363;14630524,31;21,74724759;5,041681559;37,81996329
2017-12-15;17702,00217;1179313;13365181,67;26,23363314;4,605063158;35,38890616
2017-12-16;19640,51388;1132973;13523349,5;28,47604039;4,658966187;47,05349871
2017-12-17;19250,46765;1175732;14630524,31;26,33110923;5,039706066;36,935523
2017-12-18;18982,02502;1204183;15613766,25;28,21361566;4,957307727;38,80955292
2017-12-19;17653,32609;1046267;13035760,95;31,41643351;3,812915284;43,96403319
2017-12-20;16453,62726;1027644;12663310,64;40,90527;3,703599011;38,3872151
2017-12-21;15633,83365;998866;12290860,32;53,20478983;3,594315645;44,93189796
2017-12-22;14305,71834;1110734;14432449,62;56,3081237;4,220109933;38,48126446
2017-12-23;14910,8581;979504;12942648,37;51,21061152;3,78409333;53,50894836
2017-12-24;14026,34687;1020552;14153111,89;44,12426401;4,137532268;54,8952096
2017-12-25;14080,94226;878323;12570198,06;42,59315123;3,674412013;49,7128914
2017-12-26;15727,14548;911656;13221986,11;45,89908755;3,86452787;52,21643835
2017-12-27;15389,00057;1037747;14525562,2;39,3108347;4,245043893;39,15492783
2017-12-28;14289,45221;999488;13873774,15;36,53999625;4,054110808;40,59819056
2017-12-29;14571,74608;1096215;15363575,41;32,40420408;4,488899437;38,76951221
