Date,"Bitcoin"
2018-01-01,65416
2018-01-02,85549
2018-01-03,91452
2018-01-04,86342
2018-01-05,79232
2018-01-06,79836
2018-01-07,79013
2018-01-08,87562
2018-01-09,91854
2018-01-10,99815
2018-01-11,88028
2018-01-12,75933
2018-01-13,65514
2018-01-14,57507
2018-01-15,63876
2018-01-16,74029
2018-01-17,89187
2018-01-18,70655
2018-01-19,58273
2018-01-20,50979
2018-01-21,47043
2018-01-22,53460
2018-01-23,48401
2018-01-24,50792
2018-01-25,53599
2018-01-26,45074
2018-01-27,39103
2018-01-28,39525
2018-01-29,41255
2018-01-30,39961
2018-01-31,44012
2018-02-01,47413
2018-02-02,52986
2018-02-03,44264
2018-02-04,42910
2018-02-05,56614
2018-02-06,57917
2018-02-07,42782
2018-02-08,40473
2018-02-09,40043
2018-02-10,33655
2018-02-11,33358
2018-02-12,42788
2018-02-13,37817
2018-02-14,34123
2018-02-15,36704
2018-02-16,31048
2018-02-17,28385
2018-02-18,26705
2018-02-19,26856
2018-02-20,38980
2018-02-21,24746
2018-02-22,23720
2018-02-23,20187
2018-02-24,18489
2018-02-25,23615
2018-02-26,24751
2018-02-27,27708
2018-02-28,23812
2018-03-01,19703
2018-03-02,28651
2018-03-03,17645
2018-03-04,17668
2018-03-05,18631
2018-03-06,31665
2018-03-07,25862
2018-03-08,18247
2018-03-09,18272
2018-03-10,15591
2018-03-11,20093
2018-03-12,21664
2018-03-13,20618
2018-03-14,18965
2018-03-15,19632
2018-03-16,17650
2018-03-17,14444
2018-03-18,16792
2018-03-19,28645
2018-03-20,22021
2018-03-21,26294
2018-03-22,32044
2018-03-23,26204
2018-03-24,14517
2018-03-25,12644
2018-03-26,25896
2018-03-27,20067
2018-03-28,25001
2018-03-29,17879
2018-03-30,18396
2018-03-31,12176
2018-04-01,13807
2018-04-02,18749
2018-04-03,18075
2018-04-04,20736
2018-04-05,20691
2018-04-06,18699
2018-04-07,17621
2018-04-08,17800
2018-04-09,14955
2018-04-10,18262
2018-04-11,14757
2018-04-12,16972
2018-04-13,15121
2018-04-14,12104
2018-04-15,12138
2018-04-16,15892
2018-04-17,17430
2018-04-18,16359
2018-04-19,15434
2018-04-20,15265
2018-04-21,15777
2018-04-22,20387
2018-04-23,26439
2018-04-24,21433
2018-04-25,18712
2018-04-26,19884
2018-04-27,13783
2018-04-28,10957
2018-04-29,11142
2018-04-30,13297
2018-05-01,13367
2018-05-02,13918
2018-05-03,12766
2018-05-04,13967
2018-05-05,12000
2018-05-06,13003
2018-05-07,16273
2018-05-08,18612
2018-05-09,16114
2018-05-10,16700
2018-05-11,14754
2018-05-12,12808
2018-05-13,12482
2018-05-14,14094
2018-05-15,14494
2018-05-16,13854
2018-05-17,14659
2018-05-18,18814
2018-05-19,14822
2018-05-20,15239
2018-05-21,20752
2018-05-22,14316
2018-05-23,15441
2018-05-24,13769
2018-05-25,12635
2018-05-26,10783
2018-05-27,22272
2018-05-28,12882
2018-05-29,13007
2018-05-30,12909
