,Date,BTCinUSD,ActAddresses,Hashrate,BTCFees,Inflation,Velocity,VIX,SP500Lret,EURUSDLret,GoogleBitcoin,GoogleCrypto,WikiBitcoin,RealizedVariance,RealizedVolatility,DailyVolatility,WeeklyVolatility,MonthlyVolatility,SentimentFinBERT,IsNegativeFinBERT,IsPositiveFinBERT,SentimentGenAI,IsNegativeGenAI,IsPositiveGenAI,ECB,FED,MonetaryDecision,PressRelease,Speech,Statement,Covid
0,2018-01-01,,,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0
1,2018-01-02,0.09146806965010269,169938.0,1491884.9499999993,1.3072606899999997,0.40734792499999983,,9.770000457763672,0.0044911268777983,6.0045214560904646e-05,4.949999999999999,11.399999999999999,20133.0,0.0049301417423763,0.0702149680792941,0.0615865411138318,0.065900754596563,0.065900754596563,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0
2,2018-01-03,0.01719963971797781,-11804.0,-1343962.4000000004,0.4610486999999992,-0.38119514199999927,11.36168274,-0.6200008392334002,0.0056219750687145,6.061949694359536e-05,0.0,20.9,5903.0,0.002105909941778,0.0458901943968213,0.0702149680792941,0.0592305678633157,0.0592305678633157,0.02,1,1,0.05,0,1,0,1,0,1,0,1,0
3,2018-01-04,0.003990262537774757,123069.0,1055970.460000001,-0.7937528900000004,0.2985116139999997,-13.492591759999996,0.07000064849853693,0.0017195204202451,-0.00019272113230861225,-3.1499999999999986,15.200000000000003,-5110.0,0.0022749740538182,0.0476966880801827,0.0458901943968213,0.0563470979175325,0.0563470979175325,0.03,1,1,0.1699999999999999,0,1,0,1,0,1,0,1,0
4,2018-01-05,0.12032426460060644,-184461.0,-2399932.8499999996,7.699800490000001,-0.680063477,8.410943549999999,0.0,0.0043181608581841,0.00028928499892221226,2.6999999999999993,-8.550000000000011,-7110.0,0.0024404601789795,0.0494010139468769,0.0476966880801827,0.0549578811234014,0.0549578811234014,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0
5,2018-01-06,0.006238103672410358,93978.0,2399932.8499999996,-2.4394221200000032,0.6790057679999997,9.106183399999999,-9.220000267028809,0.0,-0.0002172285781181,-2.25,-10.449999999999989,604.0,0.0018512441281761,0.0430260866007611,0.0494010139468769,0.0529692487029613,0.0529692487029613,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0
6,2018-01-07,-0.05232252859539703,-33115.0,-575983.8900000006,-2.5109094199999973,-0.16360919099999993,-12.87309604,0.0,0.0,0.0,-4.32,-6.480000000000004,-823.0,0.0015890226827179,0.0398625473686509,0.0430260866007611,0.0510968627980598,0.0510968627980598,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0
7,2018-01-08,-0.08309666697851259,26915.0,383989.2599999998,-0.24156195000000125,0.1081481050000006,8.637563270000001,9.520000457763672,0.0018359532803887,-0.0001685381301702,1.1400000000000006,0.0,8549.0,0.0076431295909469,0.0874249940860564,0.0398625473686509,0.0547880703655205,0.0556378792090594,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0
8,2018-01-09,-0.03812911358078794,-11965.0,-191994.62999999896,0.027296250000002686,-0.054890116000000155,-2.780141080000007,0.5599994659423846,5.093621021674358e-05,0.00024034239357178573,0.7599999999999998,-6.369999999999997,4292.0,0.0032540493302361,0.0570442751749565,0.0874249940860564,0.052906542807758,0.0557941454274924,0.14,0,1,0.1,0,1,0,1,0,1,0,1,0
9,2018-01-10,0.020002409195968796,-26389.0,191994.62999999896,0.23098298000000028,0.053782218999999465,-0.8248448399999901,-0.26000022888183594,0.0009756240107563,-7.180426340158572e-05,0.0,10.009999999999998,7961.0,0.0046862098788258,0.0684558973268615,0.0570442751749565,0.0561302146549065,0.0570603206174293,0.02,0,1,0.1499999999999999,0,1,0,1,0,1,0,1,0
10,2018-01-11,-0.1065295287398035,104020.0,2591927.4700000007,-2.98468656,0.7327389790000005,0.8315824799999945,0.06000041961669744,0.0052857684979439,0.0001075879788273,3.42,10.920000000000002,-11787.0,0.012709932426021,0.1127383360974474,0.0684558973268615,0.0654218786573729,0.06212195838834,0.02,1,1,0.2499999999999999,0,1,0,1,0,1,0,1,0
11,2018-01-12,0.044690435064555195,-69679.0,-1439959.710000001,0.8916395299999991,-0.40807740900000056,6.07460064,0.2799997329711914,0.0057807377925674,-0.0001075879788273,-5.32,-28.21,-12095.0,0.0043803370434858,0.0661841147367392,0.1127383360974474,0.0678194644844961,0.0624604714173733,-0.09,1,1,-0.0666666666666666,1,1,0,1,0,1,0,1,0
12,2018-01-13,0.031535151083000326,-213942.0,-1205715.6499999985,0.12339440999999951,-0.7880558829999993,4.763396530000001,-10.15999984741211,0.0,0.0,-2.2799999999999994,-6.369999999999997,-10419.0,0.001870205724616,0.0432458752323971,0.0661841147367392,0.0678508628604441,0.0609824255569905,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0
13,2018-01-14,-0.039425704682554144,32492.0,1283964.3399999999,0.14726307000000105,0.16244982599999958,-8.057075169999997,0.0,0.0,0.0,3.9000000000000004,-0.9000000000000057,-8007.0,0.0029889337018269,0.0546711413986113,0.0432458752323971,0.0699663762932956,0.0605316195456777,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0
14,2018-01-15,-0.006553760927819523,-22277.0,-553734.5300000012,-3.099252660000001,-0.13621808200000007,-10.154787680000005,0.0,0.0,-6.091151294495731e-05,-1.0200000000000014,-5.339999999999996,6369.0,0.0019073594588311,0.0436733266288602,0.0546711413986113,0.0637161380851247,0.0594077333512232,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0
15,2018-01-16,-0.1731265608198201,52256.0,996722.1600000001,-2.489043979999998,0.24383682300000054,-6.411236199999998,11.65999984741211,-0.0080856057654121,-6.18034970472427e-05,19.380000000000003,54.29,10153.0,0.0283070172983437,0.1682468938742815,0.0436733266288602,0.0796022264707426,0.0662101808839144,0.02,0,1,0.1999999999999999,0,1,0,1,0,1,0,1,0
16,2018-01-17,-0.02403158815938601,88664.0,885975.2600000016,1.0247135499999978,0.21660891299999996,14.270999289999999,0.25,0.0062890268960584,0.00011037769078178163,17.339999999999996,-1.7800000000000011,15158.0,0.0273182263035849,0.1652822625195606,0.1682468938742815,0.0934345643554139,0.0720379503918936,-0.3,1,0,-0.1999999999999999,1,0,0,1,0,1,0,1,0
17,2018-01-18,0.007715158917973641,-39693.0,664481.4399999976,-0.1881104399999991,0.16225467599999988,3.713039810000005,0.3100004196166992,-0.0015605494531844,0.00021948821381901837,-19.38,-36.49,-18532.0,0.0124289807722082,0.111485338821785,0.1652822625195606,0.093255564744605,0.074229471971332,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0
18,2018-01-19,0.017122282187539705,-22798.0,-885975.2599999979,-0.6659919199999997,-0.21766634200000023,-5.965066680000007,-0.9499998092651367,0.0027436639887263,-0.00014596912784715644,-12.240000000000002,-16.019999999999996,-12382.0,0.0071419861740871,0.084510272595035,0.111485338821785,0.0958735872957901,0.0747705667410005,0.22,0,1,0.1999999999999999,0,1,0,1,0,0,1,1,0
19,2018-01-20,0.10983540315571237,-57932.0,1439709.789999999,-0.3069708999999996,0.352132739,19.960633130000005,-11.270000457763672,0.0,-6.118176676144355e-05,-3.0599999999999987,-1.7800000000000011,-7294.0,0.0039498734129522,0.062848018369335,0.084510272595035,0.0986738934582098,0.0741744393224173,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0
20,2018-01-21,-0.1113978907741168,18446.0,996722.1600000001,-4.706119960000002,0.24348915900000012,-12.349217780000004,0.0,0.0,0.0,-3.5199999999999996,-10.89,-3936.0,0.0062715046154265,0.0791928318437126,0.062848018369335,0.1021769920932243,0.0744134103948599,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0
21,2018-01-22,-0.06184746574697068,-41907.0,-2214938.129999999,-4.555835669999999,-0.5431410000000003,-17.631359449999998,11.029999732971191,0.0084401459848298,-3.6767387914712575e-05,1.5999999999999996,0.5800000000000018,6417.0,0.0086824755183622,0.0931798020944573,0.0791928318437126,0.1092493457311667,0.0752664281993871,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0
22,2018-01-23,0.010380658991856929,-53183.0,1107469.0599999987,-1.7077397399999992,0.2706242190000001,10.793757970000001,0.07000064849853693,0.0014380350065027,-4.901582453830327e-05,1.1999999999999993,-2.3200000000000003,-5059.0,0.0083641988486516,0.0914559940553471,0.0931798020944573,0.0982792171856047,0.0759703223670375,-0.03,1,1,0.0999999999999999,1,1,1,1,0,1,0,1,0
23,2018-01-24,0.034114236923105806,46751.0,-110746.89999999851,0.5680535999999989,-0.02774619499999975,-0.5107827799999995,0.36999988555908025,-0.0027731632517699,0.00013497776306245469,-1.5999999999999996,1.1600000000000001,2391.0,0.0053062033311406,0.0728436910867419,0.0914559940553471,0.0850737069809163,0.0758400460636919,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0
24,2018-01-25,-0.008537328514261157,-86138.0,-72209.26000000164,-1.9073549199999995,-0.4886351099999997,4.966053309999992,0.10999965667724787,-0.0024588887741422,-0.00044577107033033885,-0.8000000000000007,-1.740000000000002,2807.0,0.0026423672560729,0.0514039614822923,0.0728436910867419,0.0764906530752745,0.0748626026804359,0.04,1,1,0.0333333333333333,1,1,1,1,1,1,0,1,0
25,2018-01-26,-0.008563641277201493,-47000.0,637703.1999999993,-0.17861807000000063,-0.08182970800000078,-15.061701549999995,-0.5,0.0088771851453086,0.0003965765197209,0.0,0.5800000000000018,-8525.0,0.0051604282563284,0.0718361208329653,0.0514039614822923,0.0746800599664073,0.0747461995324562,0.03,1,1,0.1,1,1,1,0,0,1,0,1,0
